sym,N,t,exit,R,days,stop_pct
BTC,5,2015-04-22 08:00:00,2015-04-26 08:00:00,-2.996924343916374,4.0,2.3468963496303332
BTC,5,2015-05-01 08:00:00,2015-05-07 08:00:00,-0.9642211343708611,6.0,4.025598385399377
BTC,5,2015-05-09 08:00:00,2015-05-14 08:00:00,-1.098989984291886,5.0,4.535287274528897
BTC,5,2015-05-23 08:00:00,2015-05-26 08:00:00,-0.8437356105771643,3.0,2.0094301763058624
BTC,5,2015-06-09 08:00:00,2015-06-22 08:00:00,2.878587613937328,13.0,1.8977488506651239
BTC,5,2015-06-28 08:00:00,2015-07-03 08:00:00,0.7917560524171978,5.0,1.5861264268119117
BTC,5,2015-07-06 08:00:00,2015-07-15 08:00:00,1.9060300004350719,9.0,3.2140572253602193
BTC,5,2015-07-25 08:00:00,2015-07-30 08:00:00,-0.10943979599675696,5.0,2.0733361120253644
BTC,5,2015-08-29 08:00:00,2015-09-02 08:00:00,-0.371611463959237,4.0,4.591856859969341
BTC,5,2015-09-05 08:00:00,2015-09-11 08:00:00,5.40430590647407,6.0,0.7226144568067082
BTC,5,2015-09-19 08:00:00,2015-09-20 08:00:00,-1.190488816938975,1.0,0.6657782253134589
BTC,5,2015-09-25 08:00:00,2015-11-08 08:00:00,20.806929686726026,44.0,2.847905281639061
BTC,5,2015-11-26 08:00:00,2015-12-02 08:00:00,1.5274538051208209,6.0,3.5445030583352377
BTC,5,2015-12-06 08:00:00,2015-12-14 08:00:00,3.0166114664449566,8.0,4.0844848216371545
BTC,5,2015-12-16 08:00:00,2015-12-21 08:00:00,-3.274895676731377,5.0,1.3780258586288987
BTC,5,2016-01-02 08:00:00,2016-01-06 08:00:00,-0.740927291602824,4.0,0.9809191731676249
BTC,5,2016-01-08 08:00:00,2016-01-13 08:00:00,-2.4668199938069724,5.0,1.8337072833954762
BTC,5,2016-01-21 08:00:00,2016-01-23 08:00:00,-1.4111603182087409,2.0,4.0046712207195485
BTC,5,2016-02-05 08:00:00,2016-02-07 08:00:00,-1.5119372572041774,2.0,1.969712379810214
BTC,5,2016-02-13 08:00:00,2016-02-24 08:00:00,2.3811521723913796,11.0,2.79872197370667
BTC,5,2016-03-11 08:00:00,2016-03-13 08:00:00,-0.9167901884268049,2.0,2.1350491806400607
